Hospital,Pay,Orientation & Onboarding,Mgmt & Leadership,Safety & Patient Ratios,DEI/LGBTQ+ Friendliness,Patient Acuity,Housing Options,Facility Location
A,1.1951056019976105,0.7118051686345616,0.41884076855762314,2.549763849200884,0.1417007777390807,0.3811204523367407,0.460523400226146,-1.4398536154006107
AA,2.210673283538086,0.8584368016856958,1.5498379596826077,0.6416032228520738,1.7478709799372405,-0.8585414314998356,1.6181248025320567,1.1044300832949656
B,0.13509459364294651,1.1072587320647667,-0.18741982365754867,-0.8007000470149831,-0.6248990264897559,-0.32109998359179537,-0.16668568398376343,-0.05256573025466418
BB,-0.6435670381749505,-2.307102500533557,-0.9107066660932083,-0.7272331756352908,-0.8829630801761283,-0.5170241635678208,-0.526259757518625,-0.43727300489122956
C,0.739957725709881,-0.49594682240818666,0.2575880155836172,0.4805070334112444,-0.27556150178114636,0.04769939167948016,-0.8510985410194107,-0.16623088902198993
CC,0.46751983102822003,-0.40158442926901083,-1.150753426325795,0.4772753165410052,1.141982984157489,-0.4013441010398334,0.06429033578452198,-0.20544930638882344
D,0.17027105822789365,0.6638274183910587,0.9156586043818685,-1.2742949655821334,0.4573886923857871,-0.4254441140664965,1.8978458901701671,0.9884068952325132
DD,0.43243432618007144,-0.26351117928831164,-0.3921971112558916,-1.7687833710370098,1.046797194817852,-1.7182195496862767,-0.24637092828765167,0.19419004166516682
E,-1.3756772073491785,-0.8388163875412215,-0.6863344373676759,0.7866161593372718,0.0401271443900107,-0.6862804089012369,-0.14031400205850975,-1.4690892490906793
F,0.24450936735753942,0.8936316414115203,0.24611362029034772,-0.3904147402562541,-0.30429178042623595,-0.060116269538775254,-0.17540636735491522,0.31170014331159285
G,0.4444563055525233,-0.22080457878291304,0.5597302051124833,-1.0261585438210596,-0.1426393958765519,0.30687494843706115,-0.28973452635069635,-0.18066872674070356
H,1.6591326738836243,1.6186248179910292,-0.49923357066143537,0.8668440956264827,1.2947960847920565,-0.5511084677055297,0.8506248560453319,1.497345524068525
I,-0.6441220665432268,-1.4050663724176677,0.28121580798521023,-0.7276906944560363,1.5637179580395215,0.5117354247607032,0.07410363638836567,0.3967431667277011
J,0.07219754555355241,0.6395749292569793,0.22431253126545078,0.6444736087869813,0.06368223177686988,-0.18203398249719344,1.2284131561465006,-0.03971198131386665
K,-0.768234855773565,-0.11510805236632926,-0.25739857167469893,-0.725383208229673,-1.037554679781407,0.7442447790493666,-0.38680710707599736,0.4902513147271615
L,-1.4841742818561035,-0.3978769944959557,0.7710411388354618,-0.6912807083028691,-1.3941507347672626,0.4552151991613353,-2.9677793231267526,-1.3447064201248087
M,0.20884423905941557,0.41993949956018134,2.220282181821174,0.850104758772165,0.9400911250207211,2.524285387313312,1.172319475844109,1.7430983655518377
N,-0.7234514783232229,-2.5217659013810247,-2.48494443825392,0.23519034371563705,-1.4852714718187885,-1.7092862365869195,-0.9810106390626814,-1.069402015301199
O,1.9424766381326033,0.5249974645658536,0.6174093864791497,-0.024702971024066135,0.0401271443900107,-0.057270068905311396,0.21377928390008455,0.9207262670068578
P,-1.847204332759748,-0.5867926046229215,-0.07957683154384172,-0.008657383766222392,-1.550514256719693,-0.4939484010947907,-0.8773668744614465,-2.40475200077343
Q,-0.5345555021572332,-0.6169349839752774,-0.8590975290076569,-0.6881573334962303,-1.0611933699628946,-1.459678958810759,-0.9810106390626814,-0.38594852848677696
R,0.9761370971677329,0.42716354525767486,1.2992250081779044,-0.015512540763704992,0.8598441854526823,-0.8789260258515587,0.7337575766501474,1.6096231503797653
S,-0.38179758900501265,-0.19342287098192143,-0.7815454511625034,-0.9085504682895079,-0.34858031627779995,1.6742274859751485,0.7138599685943862,-0.17661514355033356
T,0.15616223710631913,-0.5951654877763555,-1.317877939494173,-1.1045031952208562,-0.28552914947434227,-0.1996614205966947,-0.526407643984166,-0.5202766705865995
U,0.5719709896729617,0.42716354525767486,0.3915066202536586,0.7973132175091658,0.8598441854526823,0.30687494843706115,0.820484772776239,0.9055816819872304
V,0.0790798973201751,1.781462959319844,0.5878037655843938,0.3608119399256533,2.032214534821458,2.083367242009208,0.683205053178772,0.882499245509034
W,-0.16124738614325868,-0.17236189782853972,-1.7123531311542903,-0.13062863338501668,-0.4022178579530244,0.2795201379521714,-0.2696846906871385,-0.7418560471480826
X,-0.9122716231057635,1.4101934714055997,0.9578915241807152,2.635537110007225,-1.0727612396261772,1.6076227295381744,-1.7849151727121635,-0.41560613710819616
Y,-0.7174199667475297,-0.2707484689776124,-0.5710644041617075,-0.3862936697923488,-0.4204757643975845,-0.033077363520851534,0.5447795294700725,-0.8675463321109937
Z,-1.5123000831925024,-0.08107046215563685,0.5920461936226621,0.07290499438748904,-0.9415815976445662,-0.3697271791881858,0.09474015903978088,0.8729559188306568
